
Integration time [ms]:  60.000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 412.66;  -12.400;  -35.000;    0.000
 413.26;  -11.150;   -4.000;    0.000
 413.85;  -22.150;   -2.000;    0.000
 414.45;  -14.300;  -44.000;    0.000
 415.04;   -6.450;   11.000;    0.000
 415.63;   -6.050;    1.000;    0.000
 416.23;  -12.550;   29.000;    0.000
 416.82;   -6.050;  -30.000;    0.000
 417.41;   -8.450;   61.000;    0.000
 418.01;  -13.900;    0.000;    0.000
 418.60;   -0.600;  -30.000;    0.000
 419.20;  -22.650;    3.000;    0.000
 419.79;  -17.350;   58.000;    0.000
 420.38;   -9.400;  -77.000;    0.000
 420.98;   -8.800;  -23.000;    0.000
 421.57;    2.450;  -36.000;    0.000
 422.16;  -13.500;  -11.000;    0.000
 422.76;  -13.650;   12.000;    0.000
 423.35;  -10.700;   11.000;    0.000
 423.94;   -6.550;  -11.000;    0.000
 424.54;  -13.250;    7.000;    0.000
 425.13;   -6.500;  -33.000;    0.000
 425.73;   -4.950;    7.000;    0.000
 426.32;   -5.600;   28.000;    0.000
 426.91;  -10.100;  -26.000;    0.000
 427.51;   -5.150;    6.000;    0.000
 428.10;   -8.450;   -9.000;    0.000
 428.69;   -7.650;  -50.000;    0.000
 429.28;  -14.900;  -19.000;    0.000
 429.88;  -12.850;    6.000;    0.000
 430.47;  -13.550;  -30.000;    0.000
 431.06;   -3.300;    6.000;    0.000
 431.66;  -13.600;    4.000;    0.000
 432.25;  -14.750;  -31.000;    0.000
 432.84;   -5.600;   -6.000;    0.000
 433.44;  -13.550;  -36.000;    0.000
 434.03;  -14.900;  -24.000;    0.000
 434.62;   -7.050;  -17.000;    0.000
 435.22;  -11.750;  -12.000;    0.000
 435.81;  -11.400;   42.000;    0.000
 436.40;  -13.500;   15.000;    0.000
 436.99;  -10.800;  -45.000;    0.000
 437.59;  -16.650;  -21.000;    0.000
 438.18;  -13.950;   35.000;    0.000
 438.77;  -13.750;   12.000;    0.000
 439.36;  -11.700;  -36.000;    0.000
 439.96;  -16.550;   19.000;    0.000
 440.55;  -17.550;    2.000;    0.000
 441.14;  -12.000;   -5.000;    0.000
 441.73;   -6.600;    5.000;    0.000
 442.33;   -9.400;   23.000;    0.000
 442.92;   -5.650;  -10.000;    0.000
 443.51;   -8.350;    0.000;    0.000
 444.10;  -13.850;  -12.000;    0.000
 444.70;  -22.400;  -46.000;    0.000
 445.29;  -22.150;  -10.000;    0.000
 445.88;  -14.750;   36.000;    0.000
 446.47;  -18.100;    5.000;    0.000
 447.07;  -12.900;    7.000;    0.000
 447.66;  -11.500;   20.000;    0.000
 448.25;   -7.450;   -8.000;    0.000
 448.84;  -20.550;   15.000;    0.000
 449.43;   -6.900;   54.000;    0.000
