LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
3.5,-0.010000,-0.010000,9.277959100000e-08,5.812789525770e-10,10,9.257225000000e-08;9.262750000000e-08;9.370345000000e-08;9.405611000000e-08;9.233080000000e-08;9.242745000000e-08;9.282742000000e-08;9.265533000000e-08;9.240345000000e-08;9.219215000000e-08
3.5,0.000000,0.000000,9.538166000000e-08,6.049199986775e-10,3,9.592158000000e-08;9.453702000000e-08;9.568638000000e-08
3.5,0.100000,0.100000,1.173382666667e-07,6.709849741653e-10,3,1.169232000000e-07;1.168068000000e-07;1.182848000000e-07
3.5,0.200000,0.200000,1.399086666667e-07,1.246981126116e-09,3,1.392770000000e-07;1.416504000000e-07;1.387986000000e-07
3.5,0.300000,0.300000,1.618636333333e-07,4.642730614149e-10,3,1.624819000000e-07;1.617459000000e-07;1.613631000000e-07
3.5,0.400000,0.400000,1.856499666667e-07,1.539957601869e-09,3,1.844135000000e-07;1.878208000000e-07;1.847156000000e-07
3.5,0.500000,0.500000,2.091563333333e-07,8.503814686493e-10,3,2.086856000000e-07;2.084333000000e-07;2.103501000000e-07
3.5,0.600000,0.600000,2.331924000000e-07,1.747177062197e-09,3,2.323697000000e-07;2.315860000000e-07;2.356215000000e-07
3.5,0.700000,0.700000,2.539572333333e-07,2.074723167611e-10,3,2.538210000000e-07;2.542504000000e-07;2.538003000000e-07
3.5,0.800000,0.800000,2.771825666667e-07,9.945490647636e-10,3,2.779160000000e-07;2.757765000000e-07;2.778552000000e-07
3.5,0.900000,0.900000,2.978190000000e-07,2.715970879814e-09,3,2.946566000000e-07;2.975123000000e-07;3.012881000000e-07
3.5,1.000000,1.000000,3.174063666667e-07,2.655068790488e-09,3,3.136669000000e-07;3.195700000000e-07;3.189822000000e-07
3.5,1.100000,1.100000,3.352269000000e-07,2.631827741323e-09,3,3.368624000000e-07;3.373046000000e-07;3.315137000000e-07
3.5,1.200000,1.200000,3.502433000000e-07,1.823682156152e-09,3,3.525712000000e-07;3.500408000000e-07;3.481179000000e-07
3.5,1.300000,1.300000,3.648613333333e-07,2.553349899424e-09,3,3.684179000000e-07;3.636239000000e-07;3.625422000000e-07
3.5,1.400000,1.400000,3.793552000000e-07,1.572888432153e-09,3,3.799003000000e-07;3.772150000000e-07;3.809503000000e-07
3.5,1.500000,1.500000,3.943634000000e-07,2.916111232446e-09,3,3.975110000000e-07;3.950972000000e-07;3.904820000000e-07
3.5,1.600000,1.600000,4.109062333333e-07,3.089374582159e-09,3,4.065560000000e-07;4.127307000000e-07;4.134320000000e-07
3.5,1.700000,1.700000,4.197135666667e-07,1.089694429135e-09,3,4.198059000000e-07;4.209996000000e-07;4.183352000000e-07
3.5,1.800000,1.800000,4.323735333333e-07,3.191266207775e-09,3,4.306178000000e-07;4.296508000000e-07;4.368520000000e-07
3.5,1.900000,1.900000,4.434380666667e-07,1.659507184545e-09,3,4.411698000000e-07;4.450939000000e-07;4.440505000000e-07
3.5,2.000000,2.000000,4.520878000000e-07,1.300140425749e-09,3,4.514243000000e-07;4.509345000000e-07;4.539046000000e-07
3.5,2.100000,2.100000,4.627595000000e-07,3.090128911011e-09,3,4.586922000000e-07;4.634089000000e-07;4.661774000000e-07
3.5,2.200000,2.200000,4.668855666667e-07,3.377169537086e-09,3,4.632366000000e-07;4.713787000000e-07;4.660414000000e-07
3.5,2.300000,2.300000,4.761431000000e-07,1.166628272702e-09,3,4.773666000000e-07;4.745728000000e-07;4.764899000000e-07
3.5,2.400000,2.400000,4.848851666667e-07,4.018271224738e-09,3,4.815177000000e-07;4.826047000000e-07;4.905331000000e-07
3.5,2.500000,2.500000,4.894903666667e-07,4.225942288084e-10,3,4.891010000000e-07;4.892924000000e-07;4.900777000000e-07
3.5,2.600000,2.600000,5.005978000000e-07,3.837643319365e-09,3,5.039615000000e-07;4.952274000000e-07;5.026045000000e-07
3.5,2.700000,2.700000,5.045346666667e-07,2.921202047484e-09,3,5.011537000000e-07;5.041692000000e-07;5.082811000000e-07
3.5,2.800000,2.800000,5.093481666667e-07,2.727907139589e-09,3,5.104501000000e-07;5.119990000000e-07;5.055954000000e-07
3.5,2.900000,2.900000,5.174597000000e-07,1.277248138251e-09,3,5.189436000000e-07;5.176097000000e-07;5.158258000000e-07
3.5,3.000000,3.000000,5.193587000000e-07,3.141691378859e-09,3,5.149933000000e-07;5.208253000000e-07;5.222575000000e-07
3.5,3.100000,3.100000,5.204736000000e-07,1.208209992785e-09,3,5.221822000000e-07;5.196324000000e-07;5.196062000000e-07
3.5,3.200000,3.200000,5.227765666667e-07,1.673529954584e-09,3,5.234130000000e-07;5.204842000000e-07;5.244325000000e-07
3.5,3.300000,3.300000,5.319470333333e-07,4.027364685360e-09,3,5.264565000000e-07;5.360038000000e-07;5.333808000000e-07
3.5,3.400000,3.400000,5.361278333333e-07,9.698628677407e-10,3,5.368025000000e-07;5.347563000000e-07;5.368247000000e-07
3.5,3.500000,3.500000,5.344276000000e-07,3.704317670863e-09,3,5.317401000000e-07;5.318770000000e-07;5.396657000000e-07
3.5,3.600000,3.600000,5.412547000000e-07,4.119174511962e-09,3,5.433922000000e-07;5.354929000000e-07;5.448790000000e-07
3.5,3.700000,3.700000,5.418519333333e-07,1.661171607297e-09,3,5.397542000000e-07;5.438167000000e-07;5.419849000000e-07
3.5,3.800000,3.800000,5.442334000000e-07,3.869495143642e-10,3,5.442067000000e-07;5.437734000000e-07;5.447201000000e-07
3.5,3.900000,3.900000,5.499375333333e-07,1.031925721918e-09,3,5.511657000000e-07;5.500061000000e-07;5.486408000000e-07
3.5,4.000000,4.000000,5.561326333333e-07,3.513350961056e-09,3,5.534289000000e-07;5.538744000000e-07;5.610946000000e-07
